Mon Dec 6 10:58:07 2021 +0100,e516596,Merge pull request #108 in PZ_SOPRE/sopreinfo-standort from feature/SOPRE-31635-sopreweb-spring-security-update to develop
Tue Nov 30 08:50:37 2021 +0100,e516596,SOPRE-31635 ,removed the admin service and related configurations
Thu Nov 18 14:59:51 2021 +0100,e516596,SOPRE-31635 ,updated jackson and common.io ,removed unnessesary endpoint settings (they were same as the default) ,updated the controllers @AuthenticationPrincipal class type (JWT instead of JwtAuthentication)
Wed Nov 17 12:46:31 2021 +0100,e516596,SOPRE-31635 ,updated the spring-starter-parent to >2.5.6< (okt.2021 release)     -> automatically updates the spring-starter security to >2.5.6<        ->includes spring security >2.5.3< ,resolved dependency conflict
Wed Oct 27 10:43:39 2021 +0200,ue67532,Pull request #106,feature/SOPRE-26967-new-db-users-for-sopreweb
Mon Aug 30 16:01:47 2021 +0200,ue67532,SOPRE-26967,Modify db user
Mon Mar 22 08:47:53 2021 +0100,ue67532,Pull request #103,feature/SOPRE-26967-new-db-users-for-sopreweb
Mon Mar 22 08:32:15 2021 +0100,ue67532,SOPRE-26967,Change SPLUNK index
Wed Mar 17 14:18:58 2021 +0100,ue67532,Pull request #100,feature/SOPRE-26303-sopreweb-mit-rg-berechtigung-kann-nur-auf-zf-zugegriffen-werden
Wed Mar 17 14:13:28 2021 +0100,ue67532,SOPRE-26303,Retrieve also RG data with Role SOPREINFO_EXPERT_ZF
Thu Feb 25 15:54:52 2021 +0100,automerge,Merge pull request #98 in PZ_SOPRE/sopreinfo-standort from feature/SOPRE-26967-new-db-users-for-sopreweb to develop
Wed Feb 17 17:32:26 2021 +0100,ue67532,SOPRE-26967,Remove POC openshift congigs,Remove unused code
