Mon Dec 6 11:24:38 2021 +0100,e516596,Merge pull request #114 in PZ_SOPRE/sopreweb-fachbus from feature/SOPRE-31635-sopreweb-spring-security-update to develop
Tue Nov 30 09:46:22 2021 +0100,e516596,DB(SOPRE-31635)  DONE, ,removed spring boots admin and its configurations
Tue Nov 23 12:44:31 2021 +0100,e516596,DB(SOPRE-31635)  DONE, ,updated H2 Db+B JPA settings     (if data.sql need to populate a schema created by Hibernate, set spring.jpa.defer-datasource-initialization to true)
Fri Nov 19 15:03:12 2021 +0100,e516596,DB(SOPRE-31635)  DONE, ,updated the spring-starter-parent to v2.5.6 (okt.2021 release)     -> automatically updates the spring-starter security to v2.5.6        -> includes spring security v5.5.3 (both web and config)  ,updated the Jackson and common.io libraries  ,refactored the controllers @AuthenticationPrincipal class  ,removed the unnecessary endpoint configs as they were set the default values
Wed Oct 27 10:43:23 2021 +0200,ue67532,Pull request #112,feature/SOPRE-26967-new-db-users-for-sopreweb
Mon Aug 30 16:10:01 2021 +0200,ue67532,SOPRE-26967,Modify db user
Wed Mar 24 07:07:54 2021 +0100,ue67532,Pull request #109,feature/SOPRE-25817-sopreweb-admin-rolle-fachbus_all-falsch
Tue Mar 23 17:48:29 2021 +0100,ue67532,SOPRE-25817,Manage new role FACHBUS_ADMIN
Mon Mar 22 08:48:06 2021 +0100,ue67532,Pull request #107,feature/SOPRE-26967-new-db-users-for-sopreweb
Mon Mar 22 08:33:58 2021 +0100,ue67532,SOPRE-26967,Change SPLUNK index
Thu Feb 25 15:55:09 2021 +0100,automerge,Merge pull request #105 in PZ_SOPRE/sopreweb-fachbus from feature/SOPRE-26967-new-db-users-for-sopreweb to develop
Wed Feb 17 18:26:49 2021 +0100,ue67532,SOPRE-26967,Remove POC openshift congigs,Remove unused code
