Mon Dec 6 11:29:04 2021 +0100,e516596,Merge pull request #107 in PZ_SOPRE/sopreweb-psn from feature/SOPRE-31635-sopreweb-spring-security-update to develop
Tue Nov 30 10:46:05 2021 +0100,e516596,DB(SOPRE-31635)  DONE, ,removed spring boots admin and its configuration
Mon Nov 22 16:48:33 2021 +0100,e516596,DB(SOPRE-31635)  DONE, ,removed the unused H2 Db dependency  ,updated the test read from file (all files must be decoded with the same standart, otherwise the build can fail)
Mon Nov 22 14:26:32 2021 +0100,e516596,DB(SOPRE-31635)  DONE, ,updated the spring-starter-parent to v2.5.6 (okt.2021 release)     -> automatically updates the spring-starter security to v2.5.6        -> includes spring security v5.5.3 (both web and config)  ,updated the Jackson and common.io libraries  ,refactored the controllers @AuthenticationPrincipal class  ,removed the unnecessary endpoint configs as they were set the default values
Wed Oct 27 10:43:02 2021 +0200,ue67532,Pull request #105,feature/SOPRE-26967-new-db-users-for-sopreweb
Mon Aug 30 16:17:41 2021 +0200,ue67532,SOPRE-26967,Modify db user
Mon Mar 22 08:48:21 2021 +0100,ue67532,Pull request #102,feature/SOPRE-26967-new-db-users-for-sopreweb
Mon Mar 22 08:37:16 2021 +0100,ue67532,SOPRE-26967,Change SPLUNK index
Thu Feb 25 15:55:23 2021 +0100,automerge,Merge pull request #100 in PZ_SOPRE/sopreweb-psn from feature/SOPRE-26967-new-db-users-for-sopreweb to develop
Thu Feb 18 16:56:44 2021 +0100,ue67532,SOPRE-26967,Remove POC openshift congigs,Remove unused code
