Mon Dec 6 11:29:27 2021 +0100,e516596,Merge pull request #63 in PZ_SOPRE/sopreweb-team from feature/SOPRE-31635-sopreweb-spring-security-update to develop
Tue Nov 30 11:20:22 2021 +0100,e516596,DB(SOPRE-31635)   DONE,  ,removed spring boots admin and it's configuration
Tue Nov 23 12:27:04 2021 +0100,e516596,DB(SOPRE-31635)   DONE,  ,remove local config
Tue Nov 23 12:24:36 2021 +0100,e516596,DB(SOPRE-31635)   DONE,  ,updated the spring-starter-parent to v2.5.6 (okt.2021 release)       -> automatically updates the spring-starter security to v2.5.6        -> includes spring security v5.5.3 (both web and config)   ,updated the Jackson and common.io libraries   ,refactored the controllers @AuthenticationPrincipal class   ,removed the unnecessary endpoint configs as they were set the default values
Wed Oct 27 10:42:52 2021 +0200,ue67532,Pull request #61,feature/SOPRE-26967-new-db-users-for-sopreweb
Mon Aug 30 16:21:32 2021 +0200,ue67532,SOPRE-26967,Modify db user
Mon Mar 22 08:48:32 2021 +0100,ue67532,Pull request #58,feature/SOPRE-26967-new-db-users-for-sopreweb
Mon Mar 22 08:38:45 2021 +0100,ue67532,SOPRE-26967,Change SPLUNK index
Thu Feb 25 15:55:33 2021 +0100,automerge,Merge pull request #56 in PZ_SOPRE/sopreweb-team from feature/SOPRE-26967-new-db-users-for-sopreweb to develop
Fri Feb 19 08:09:38 2021 +0100,ue67532,SOPRE-26967,Remove POC openshift congigs,Remove unused code
