Thu Dec 9 13:27:04 2021 +0100,u233266,Pull request #3,YS (SOPRE30619)
Thu Dec 9 13:15:49 2021 +0100,u233266,YS (SOPRE30619),new User BCTEST and ENTW
Thu Dec 9 09:56:20 2021 +0100,u233266,Pull request #1,Feature/SOPRE-30619 testing sap batches on inte refactoring
Thu Dec 9 09:54:41 2021 +0100,u233266,YS (SOPRE30619),Did automatically CopyJob,Logging,Testing
Tue Dec 7 15:34:16 2021 +0100,u233266,YS (SOPRE30619),Did automatically CopyJob,Logging,Testing
Tue Dec 7 15:29:45 2021 +0100,u233266,YS (SOPRE30619),Did automatically CopyJob,Logging,Testing
Tue Nov 30 14:17:34 2021 +0100,u233266,initial commit
