Mon Dec 6 11:26:14 2021 +0100,e516596,Merge pull request #99 in PZ_SOPRE/sopreweb-hilfe from feature/SOPRE-31635-sopreweb-spring-security-update to develop
Tue Nov 30 10:05:15 2021 +0100,e516596,DB(SOPRE-31635)  DONE, ,removed spring boots admin and its configuration
Mon Nov 22 11:21:39 2021 +0100,e516596,DB(SOPRE-31635)  DONE, ,updated the spring-starter-parent to v2.5.6 (okt.2021 release)     -> automatically updates the spring-starter security to v2.5.6        -> includes spring security v5.5.3 (both web and config)  ,updated the Jackson and common.io libraries  ,refactored the controllers @AuthenticationPrincipal class  ,removed the unnecessary endpoint configs as they were set the default values  ,removed spring-boot-admin dependency from pom, as it is not used inside the service
Wed Oct 27 10:43:15 2021 +0200,ue67532,Pull request #97,feature/SOPRE-26967-new-db-users-for-sopreweb
Mon Aug 30 16:13:27 2021 +0200,ue67532,SOPRE-26967,Modify db user
Wed Mar 24 07:08:00 2021 +0100,ue67532,Pull request #94,feature/SOPRE-25817-sopreweb-admin-rolle-fachbus_all-falsch
Tue Mar 23 17:47:37 2021 +0100,ue67532,SOPRE-25817,Manage new role FACHBUS_ADMIN
Mon Mar 22 08:48:09 2021 +0100,ue67532,Pull request #92,feature/SOPRE-26967-new-db-users-for-sopreweb
Mon Mar 22 08:34:31 2021 +0100,ue67532,SOPRE-26967,Change SPLUNK index
Thu Feb 25 15:55:15 2021 +0100,automerge,Merge pull request #90 in PZ_SOPRE/sopreweb-hilfe from feature/SOPRE-26967-new-db-users-for-sopreweb to develop
Wed Feb 17 18:38:27 2021 +0100,ue67532,SOPRE-26967,Remove POC openshift congigs,Remove unused code
